image_path,fruit_id,storage_condition,day,stage,view,timestamp,file_stem
data/Avocado Ripening Dataset/T10_d15_002_b_4.jpg,T10_002,T10,15,4,b,2022-04-18 16:00:54,T10_d15_002_b_4
data/Avocado Ripening Dataset/T10_d16_002_a_4.jpg,T10_002,T10,16,4,a,2022-04-19 13:26:27,T10_d16_002_a_4
data/Avocado Ripening Dataset/T10_d16_002_b_4.jpg,T10_002,T10,16,4,b,2022-04-19 13:26:32,T10_d16_002_b_4
data/Avocado Ripening Dataset/T10_d17_002_a_4.jpg,T10_002,T10,17,4,a,2022-04-20 13:07:03,T10_d17_002_a_4
data/Avocado Ripening Dataset/T10_d17_002_b_4.jpg,T10_002,T10,17,4,b,2022-04-20 13:07:09,T10_d17_002_b_4
data/Avocado Ripening Dataset/T10_d18_002_a_4.jpg,T10_002,T10,18,4,a,2022-04-21 14:18:30,T10_d18_002_a_4
data/Avocado Ripening Dataset/T10_d18_002_b_4.jpg,T10_002,T10,18,4,b,2022-04-21 14:18:35,T10_d18_002_b_4
data/Avocado Ripening Dataset/T10_d19_002_a_5.jpg,T10_002,T10,19,5,a,2022-04-22 13:35:44,T10_d19_002_a_5
data/Avocado Ripening Dataset/T10_d19_002_b_5.jpg,T10_002,T10,19,5,b,2022-04-22 13:35:49,T10_d19_002_b_5
data/Avocado Ripening Dataset/T10_d20_002_a_5.jpg,T10_002,T10,20,5,a,2022-04-23 13:17:23,T10_d20_002_a_5
data/Avocado Ripening Dataset/T10_d20_002_b_5.jpg,T10_002,T10,20,5,b,2022-04-23 13:17:41,T10_d20_002_b_5
data/Avocado Ripening Dataset/T10_d21_002_a_5.jpg,T10_002,T10,21,5,a,2022-04-24 15:17:09,T10_d21_002_a_5
data/Avocado Ripening Dataset/T10_d21_002_b_5.jpg,T10_002,T10,21,5,b,2022-04-24 15:17:15,T10_d21_002_b_5
data/Avocado Ripening Dataset/T10_d22_002_a_5.jpg,T10_002,T10,22,5,a,2022-04-25 15:21:01,T10_d22_002_a_5
data/Avocado Ripening Dataset/T10_d22_002_b_5.jpg,T10_002,T10,22,5,b,2022-04-25 15:21:08,T10_d22_002_b_5
data/Avocado Ripening Dataset/T10_d23_002_a_5.jpg,T10_002,T10,23,5,a,2022-04-26 13:08:19,T10_d23_002_a_5
data/Avocado Ripening Dataset/T10_d23_002_b_5.jpg,T10_002,T10,23,5,b,2022-04-26 13:08:25,T10_d23_002_b_5
data/Avocado Ripening Dataset/T10_d24_002_a_5.jpg,T10_002,T10,24,5,a,2022-04-27 15:54:22,T10_d24_002_a_5
data/Avocado Ripening Dataset/T10_d24_002_b_5.jpg,T10_002,T10,24,5,b,2022-04-27 15:54:28,T10_d24_002_b_5
data/Avocado Ripening Dataset/T10_d25_002_a_5.jpg,T10_002,T10,25,5,a,2022-04-28 19:53:13,T10_d25_002_a_5
data/Avocado Ripening Dataset/T10_d25_002_b_5.jpg,T10_002,T10,25,5,b,2022-04-28 19:53:18,T10_d25_002_b_5
data/Avocado Ripening Dataset/T10_d26_002_a_5.jpg,T10_002,T10,26,5,a,2022-04-29 14:36:18,T10_d26_002_a_5
data/Avocado Ripening Dataset/T10_d26_002_b_5.jpg,T10_002,T10,26,5,b,2022-04-29 14:36:26,T10_d26_002_b_5
data/Avocado Ripening Dataset/T10_d01_003_a_1.jpg,T10_003,T10,1,1,a,2022-04-04 10:22:15,T10_d01_003_a_1
data/Avocado Ripening Dataset/T10_d01_003_b_1.jpg,T10_003,T10,1,1,b,2022-04-04 10:22:30,T10_d01_003_b_1
data/Avocado Ripening Dataset/T10_d02_003_a_1.jpg,T10_003,T10,2,1,a,2022-04-05 11:07:01,T10_d02_003_a_1
data/Avocado Ripening Dataset/T10_d02_003_b_1.jpg,T10_003,T10,2,1,b,2022-04-05 11:07:31,T10_d02_003_b_1
data/Avocado Ripening Dataset/T10_d03_003_a_1.jpg,T10_003,T10,3,1,a,2022-04-06 11:33:53,T10_d03_003_a_1
data/Avocado Ripening Dataset/T10_d03_003_b_1.jpg,T10_003,T10,3,1,b,2022-04-06 11:34:11,T10_d03_003_b_1
data/Avocado Ripening Dataset/T10_d04_003_a_1.jpg,T10_003,T10,4,1,a,2022-04-07 11:04:49,T10_d04_003_a_1
data/Avocado Ripening Dataset/T10_d04_003_b_1.jpg,T10_003,T10,4,1,b,2022-04-07 11:06:48,T10_d04_003_b_1
data/Avocado Ripening Dataset/T10_d05_003_a_1.jpg,T10_003,T10,5,1,a,2022-04-08 11:59:59,T10_d05_003_a_1
data/Avocado Ripening Dataset/T10_d05_003_b_1.jpg,T10_003,T10,5,1,b,2022-04-08 12:00:13,T10_d05_003_b_1
data/Avocado Ripening Dataset/T10_d06_003_a_1.jpg,T10_003,T10,6,1,a,2022-04-09 12:18:51,T10_d06_003_a_1
data/Avocado Ripening Dataset/T10_d06_003_b_1.jpg,T10_003,T10,6,1,b,2022-04-09 12:18:58,T10_d06_003_b_1
data/Avocado Ripening Dataset/T10_d07_003_a_1.jpg,T10_003,T10,7,1,a,2022-04-10 12:38:11,T10_d07_003_a_1
data/Avocado Ripening Dataset/T10_d07_003_b_1.jpg,T10_003,T10,7,1,b,2022-04-10 12:38:19,T10_d07_003_b_1
data/Avocado Ripening Dataset/T10_d08_003_a_2.jpg,T10_003,T10,8,2,a,2022-04-11 11:41:14,T10_d08_003_a_2
data/Avocado Ripening Dataset/T10_d08_003_b_2.jpg,T10_003,T10,8,2,b,2022-04-11 11:41:24,T10_d08_003_b_2
data/Avocado Ripening Dataset/T10_d09_003_a_2.jpg,T10_003,T10,9,2,a,2022-04-12 12:01:48,T10_d09_003_a_2
data/Avocado Ripening Dataset/T10_d09_003_b_2.jpg,T10_003,T10,9,2,b,2022-04-12 12:02:05,T10_d09_003_b_2
data/Avocado Ripening Dataset/T10_d10_003_a_3.jpg,T10_003,T10,10,3,a,2022-04-13 11:42:19,T10_d10_003_a_3
data/Avocado Ripening Dataset/T10_d10_003_b_3.jpg,T10_003,T10,10,3,b,2022-04-13 11:42:27,T10_d10_003_b_3
data/Avocado Ripening Dataset/T10_d11_003_a_3.jpg,T10_003,T10,11,3,a,2022-04-14 12:27:16,T10_d11_003_a_3
data/Avocado Ripening Dataset/T10_d11_003_b_3.jpg,T10_003,T10,11,3,b,2022-04-14 12:27:24,T10_d11_003_b_3
data/Avocado Ripening Dataset/T10_d12_003_a_3.jpg,T10_003,T10,12,3,a,2022-04-15 16:35:17,T10_d12_003_a_3
data/Avocado Ripening Dataset/T10_d12_003_b_3.jpg,T10_003,T10,12,3,b,2022-04-15 16:35:30,T10_d12_003_b_3
data/Avocado Ripening Dataset/T10_d13_003_a_4.jpg,T10_003,T10,13,4,a,2022-04-16 14:14:12,T10_d13_003_a_4
data/Avocado Ripening Dataset/T10_d13_003_b_4.jpg,T10_003,T10,13,4,b,2022-04-16 14:14:18,T10_d13_003_b_4
data/Avocado Ripening Dataset/T10_d14_003_a_4.jpg,T10_003,T10,14,4,a,2022-04-17 15:35:43,T10_d14_003_a_4
data/Avocado Ripening Dataset/T10_d14_003_b_4.jpg,T10_003,T10,14,4,b,2022-04-17 15:35:49,T10_d14_003_b_4
data/Avocado Ripening Dataset/T10_d15_003_a_4.jpg,T10_003,T10,15,4,a,2022-04-18 16:21:56,T10_d15_003_a_4
data/Avocado Ripening Dataset/T10_d15_003_b_4.jpg,T10_003,T10,15,4,b,2022-04-18 16:22:01,T10_d15_003_b_4
data/Avocado Ripening Dataset/T10_d16_003_a_4.jpg,T10_003,T10,16,4,a,2022-04-19 12:59:04,T10_d16_003_a_4
data/Avocado Ripening Dataset/T10_d16_003_b_4.jpg,T10_003,T10,16,4,b,2022-04-19 12:59:10,T10_d16_003_b_4
data/Avocado Ripening Dataset/T10_d17_003_a_4.jpg,T10_003,T10,17,4,a,2022-04-20 12:29:29,T10_d17_003_a_4
data/Avocado Ripening Dataset/T10_d17_003_b_4.jpg,T10_003,T10,17,4,b,2022-04-20 12:29:37,T10_d17_003_b_4
data/Avocado Ripening Dataset/T10_d18_003_a_5.jpg,T10_003,T10,18,5,a,2022-04-21 13:58:57,T10_d18_003_a_5
data/Avocado Ripening Dataset/T10_d18_003_b_5.jpg,T10_003,T10,18,5,b,2022-04-21 13:59:03,T10_d18_003_b_5
data/Avocado Ripening Dataset/T10_d19_003_a_5.jpg,T10_003,T10,19,5,a,2022-04-22 13:11:35,T10_d19_003_a_5
data/Avocado Ripening Dataset/T10_d19_003_b_5.jpg,T10_003,T10,19,5,b,2022-04-22 13:11:42,T10_d19_003_b_5
data/Avocado Ripening Dataset/T10_d20_003_a_5.jpg,T10_003,T10,20,5,a,2022-04-23 13:41:18,T10_d20_003_a_5
data/Avocado Ripening Dataset/T10_d20_003_b_5.jpg,T10_003,T10,20,5,b,2022-04-23 13:41:25,T10_d20_003_b_5
data/Avocado Ripening Dataset/T10_d21_003_a_5.jpg,T10_003,T10,21,5,a,2022-04-24 14:53:39,T10_d21_003_a_5
data/Avocado Ripening Dataset/T10_d21_003_b_5.jpg,T10_003,T10,21,5,b,2022-04-24 14:53:46,T10_d21_003_b_5
data/Avocado Ripening Dataset/T10_d22_003_a_5.jpg,T10_003,T10,22,5,a,2022-04-25 15:44:52,T10_d22_003_a_5
data/Avocado Ripening Dataset/T10_d22_003_b_5.jpg,T10_003,T10,22,5,b,2022-04-25 15:45:03,T10_d22_003_b_5
data/Avocado Ripening Dataset/T10_d23_003_a_5.jpg,T10_003,T10,23,5,a,2022-04-26 12:37:56,T10_d23_003_a_5
data/Avocado Ripening Dataset/T10_d23_003_b_5.jpg,T10_003,T10,23,5,b,2022-04-26 12:38:09,T10_d23_003_b_5
data/Avocado Ripening Dataset/T10_d24_003_a_5.jpg,T10_003,T10,24,5,a,2022-04-27 16:26:30,T10_d24_003_a_5
data/Avocado Ripening Dataset/T10_d24_003_b_5.jpg,T10_003,T10,24,5,b,2022-04-27 16:26:38,T10_d24_003_b_5
data/Avocado Ripening Dataset/T10_d25_003_a_5.jpg,T10_003,T10,25,5,a,2022-04-28 18:43:44,T10_d25_003_a_5
data/Avocado Ripening Dataset/T10_d25_003_b_5.jpg,T10_003,T10,25,5,b,2022-04-28 18:43:53,T10_d25_003_b_5
data/Avocado Ripening Dataset/T10_d26_003_a_5.jpg,T10_003,T10,26,5,a,2022-04-29 14:53:17,T10_d26_003_a_5
data/Avocado Ripening Dataset/T10_d26_003_b_5.jpg,T10_003,T10,26,5,b,2022-04-29 14:53:23,T10_d26_003_b_5
data/Avocado Ripening Dataset/T10_d01_007_a_1.jpg,T10_007,T10,1,1,a,2022-04-04 10:23:16,T10_d01_007_a_1
data/Avocado Ripening Dataset/T10_d01_007_b_1.jpg,T10_007,T10,1,1,b,2022-04-04 10:23:29,T10_d01_007_b_1
data/Avocado Ripening Dataset/T10_d02_007_a_1.jpg,T10_007,T10,2,1,a,2022-04-05 11:07:54,T10_d02_007_a_1
data/Avocado Ripening Dataset/T10_d02_007_b_1.jpg,T10_007,T10,2,1,b,2022-04-05 11:08:04,T10_d02_007_b_1
data/Avocado Ripening Dataset/T10_d03_007_a_1.jpg,T10_007,T10,3,1,a,2022-04-06 11:34:50,T10_d03_007_a_1
data/Avocado Ripening Dataset/T10_d03_007_b_1.jpg,T10_007,T10,3,1,b,2022-04-06 11:35:02,T10_d03_007_b_1
data/Avocado Ripening Dataset/T10_d04_007_a_1.jpg,T10_007,T10,4,1,a,2022-04-07 11:07:24,T10_d04_007_a_1
data/Avocado Ripening Dataset/T10_d04_007_b_1.jpg,T10_007,T10,4,1,b,2022-04-07 11:07:33,T10_d04_007_b_1
data/Avocado Ripening Dataset/T10_d05_007_a_1.jpg,T10_007,T10,5,1,a,2022-04-08 12:00:33,T10_d05_007_a_1
data/Avocado Ripening Dataset/T10_d05_007_b_1.jpg,T10_007,T10,5,1,b,2022-04-08 12:00:41,T10_d05_007_b_1
data/Avocado Ripening Dataset/T10_d06_007_a_1.jpg,T10_007,T10,6,1,a,2022-04-09 12:19:16,T10_d06_007_a_1
data/Avocado Ripening Dataset/T10_d06_007_b_1.jpg,T10_007,T10,6,1,b,2022-04-09 12:19:23,T10_d06_007_b_1
data/Avocado Ripening Dataset/T10_d07_007_a_1.jpg,T10_007,T10,7,1,a,2022-04-10 12:38:39,T10_d07_007_a_1
data/Avocado Ripening Dataset/T10_d07_007_b_1.jpg,T10_007,T10,7,1,b,2022-04-10 12:38:43,T10_d07_007_b_1
data/Avocado Ripening Dataset/T10_d08_007_a_2.jpg,T10_007,T10,8,2,a,2022-04-11 11:41:51,T10_d08_007_a_2
data/Avocado Ripening Dataset/T10_d08_007_b_2.jpg,T10_007,T10,8,2,b,2022-04-11 11:41:58,T10_d08_007_b_2
data/Avocado Ripening Dataset/T10_d09_007_a_2.jpg,T10_007,T10,9,2,a,2022-04-12 12:02:29,T10_d09_007_a_2
data/Avocado Ripening Dataset/T10_d09_007_b_2.jpg,T10_007,T10,9,2,b,2022-04-12 12:02:39,T10_d09_007_b_2
data/Avocado Ripening Dataset/T10_d10_007_a_3.jpg,T10_007,T10,10,3,a,2022-04-13 11:42:47,T10_d10_007_a_3
data/Avocado Ripening Dataset/T10_d10_007_b_3.jpg,T10_007,T10,10,3,b,2022-04-13 11:42:54,T10_d10_007_b_3
data/Avocado Ripening Dataset/T10_d11_007_a_3.jpg,T10_007,T10,11,3,a,2022-04-14 12:27:43,T10_d11_007_a_3
data/Avocado Ripening Dataset/T10_d11_007_b_3.jpg,T10_007,T10,11,3,b,2022-04-14 12:27:52,T10_d11_007_b_3
data/Avocado Ripening Dataset/T10_d12_007_a_3.jpg,T10_007,T10,12,3,a,2022-04-15 16:35:44,T10_d12_007_a_3
data/Avocado Ripening Dataset/T10_d12_007_b_3.jpg,T10_007,T10,12,3,b,2022-04-15 16:35:48,T10_d12_007_b_3
data/Avocado Ripening Dataset/T10_d13_007_a_3.jpg,T10_007,T10,13,3,a,2022-04-16 14:14:31,T10_d13_007_a_3
data/Avocado Ripening Dataset/T10_d13_007_b_3.jpg,T10_007,T10,13,3,b,2022-04-16 14:14:36,T10_d13_007_b_3
data/Avocado Ripening Dataset/T10_d14_007_a_3.jpg,T10_007,T10,14,3,a,2022-04-17 15:36:04,T10_d14_007_a_3
data/Avocado Ripening Dataset/T10_d14_007_b_3.jpg,T10_007,T10,14,3,b,2022-04-17 15:36:08,T10_d14_007_b_3
data/Avocado Ripening Dataset/T10_d15_007_a_3.jpg,T10_007,T10,15,3,a,2022-04-18 16:22:20,T10_d15_007_a_3
data/Avocado Ripening Dataset/T10_d15_007_b_3.jpg,T10_007,T10,15,3,b,2022-04-18 16:22:25,T10_d15_007_b_3
data/Avocado Ripening Dataset/T10_d16_007_a_3.jpg,T10_007,T10,16,3,a,2022-04-19 12:59:29,T10_d16_007_a_3
data/Avocado Ripening Dataset/T10_d16_007_b_3.jpg,T10_007,T10,16,3,b,2022-04-19 12:59:36,T10_d16_007_b_3
data/Avocado Ripening Dataset/T10_d17_007_a_4.jpg,T10_007,T10,17,4,a,2022-04-20 12:29:53,T10_d17_007_a_4
data/Avocado Ripening Dataset/T10_d17_007_b_4.jpg,T10_007,T10,17,4,b,2022-04-20 12:29:58,T10_d17_007_b_4
data/Avocado Ripening Dataset/T10_d18_007_a_4.jpg,T10_007,T10,18,4,a,2022-04-21 13:59:17,T10_d18_007_a_4
data/Avocado Ripening Dataset/T10_d18_007_b_4.jpg,T10_007,T10,18,4,b,2022-04-21 13:59:22,T10_d18_007_b_4
data/Avocado Ripening Dataset/T10_d19_007_a_5.jpg,T10_007,T10,19,5,a,2022-04-22 13:12:02,T10_d19_007_a_5
data/Avocado Ripening Dataset/T10_d19_007_b_5.jpg,T10_007,T10,19,5,b,2022-04-22 13:12:07,T10_d19_007_b_5
data/Avocado Ripening Dataset/T10_d20_007_a_5.jpg,T10_007,T10,20,5,a,2022-04-23 13:41:38,T10_d20_007_a_5
data/Avocado Ripening Dataset/T10_d20_007_b_5.jpg,T10_007,T10,20,5,b,2022-04-23 13:41:41,T10_d20_007_b_5
data/Avocado Ripening Dataset/T10_d21_007_a_5.jpg,T10_007,T10,21,5,a,2022-04-24 14:54:04,T10_d21_007_a_5
data/Avocado Ripening Dataset/T10_d21_007_b_5.jpg,T10_007,T10,21,5,b,2022-04-24 14:54:08,T10_d21_007_b_5
data/Avocado Ripening Dataset/T10_d22_007_a_5.jpg,T10_007,T10,22,5,a,2022-04-25 15:45:20,T10_d22_007_a_5
data/Avocado Ripening Dataset/T10_d22_007_b_5.jpg,T10_007,T10,22,5,b,2022-04-25 15:45:25,T10_d22_007_b_5
data/Avocado Ripening Dataset/T10_d23_007_a_5.jpg,T10_007,T10,23,5,a,2022-04-26 12:41:56,T10_d23_007_a_5
data/Avocado Ripening Dataset/T10_d23_007_b_5.jpg,T10_007,T10,23,5,b,2022-04-26 12:42:01,T10_d23_007_b_5
data/Avocado Ripening Dataset/T10_d24_007_a_5.jpg,T10_007,T10,24,5,a,2022-04-27 16:26:55,T10_d24_007_a_5
data/Avocado Ripening Dataset/T10_d24_007_b_5.jpg,T10_007,T10,24,5,b,2022-04-27 16:27:00,T10_d24_007_b_5
data/Avocado Ripening Dataset/T10_d25_007_a_5.jpg,T10_007,T10,25,5,a,2022-04-28 18:44:07,T10_d25_007_a_5
data/Avocado Ripening Dataset/T10_d25_007_b_5.jpg,T10_007,T10,25,5,b,2022-04-28 18:44:10,T10_d25_007_b_5
data/Avocado Ripening Dataset/T10_d26_007_a_5.jpg,T10_007,T10,26,5,a,2022-04-29 14:53:38,T10_d26_007_a_5
data/Avocado Ripening Dataset/T10_d26_007_b_5.jpg,T10_007,T10,26,5,b,2022-04-29 14:53:43,T10_d26_007_b_5
data/Avocado Ripening Dataset/T10_d01_011_a_1.jpg,T10_011,T10,1,1,a,2022-04-04 11:01:16,T10_d01_011_a_1
data/Avocado Ripening Dataset/T10_d01_011_b_1.jpg,T10_011,T10,1,1,b,2022-04-04 11:01:32,T10_d01_011_b_1
data/Avocado Ripening Dataset/T10_d02_011_a_1.jpg,T10_011,T10,2,1,a,2022-04-05 12:11:05,T10_d02_011_a_1
data/Avocado Ripening Dataset/T10_d02_011_b_1.jpg,T10_011,T10,2,1,b,2022-04-05 12:11:12,T10_d02_011_b_1
data/Avocado Ripening Dataset/T10_d03_011_a_1.jpg,T10_011,T10,3,1,a,2022-04-06 12:11:03,T10_d03_011_a_1
data/Avocado Ripening Dataset/T10_d03_011_b_1.jpg,T10_011,T10,3,1,b,2022-04-06 12:11:15,T10_d03_011_b_1
data/Avocado Ripening Dataset/T10_d04_011_a_1.jpg,T10_011,T10,4,1,a,2022-04-07 11:40:51,T10_d04_011_a_1
data/Avocado Ripening Dataset/T10_d04_011_b_1.jpg,T10_011,T10,4,1,b,2022-04-07 11:41:02,T10_d04_011_b_1
data/Avocado Ripening Dataset/T10_d05_011_a_1.jpg,T10_011,T10,5,1,a,2022-04-08 12:30:18,T10_d05_011_a_1
data/Avocado Ripening Dataset/T10_d05_011_b_1.jpg,T10_011,T10,5,1,b,2022-04-08 12:30:27,T10_d05_011_b_1
data/Avocado Ripening Dataset/T10_d06_011_a_1.jpg,T10_011,T10,6,1,a,2022-04-09 12:42:00,T10_d06_011_a_1
data/Avocado Ripening Dataset/T10_d06_011_b_1.jpg,T10_011,T10,6,1,b,2022-04-09 12:42:08,T10_d06_011_b_1
data/Avocado Ripening Dataset/T10_d07_011_a_1.jpg,T10_011,T10,7,1,a,2022-04-10 12:09:36,T10_d07_011_a_1
data/Avocado Ripening Dataset/T10_d07_011_b_1.jpg,T10_011,T10,7,1,b,2022-04-10 12:09:44,T10_d07_011_b_1
data/Avocado Ripening Dataset/T10_d08_011_a_1.jpg,T10_011,T10,8,1,a,2022-04-11 12:12:24,T10_d08_011_a_1
data/Avocado Ripening Dataset/T10_d08_011_b_1.jpg,T10_011,T10,8,1,b,2022-04-11 12:12:36,T10_d08_011_b_1
data/Avocado Ripening Dataset/T10_d09_011_a_2.jpg,T10_011,T10,9,2,a,2022-04-12 12:41:57,T10_d09_011_a_2
data/Avocado Ripening Dataset/T10_d09_011_b_2.jpg,T10_011,T10,9,2,b,2022-04-12 12:42:06,T10_d09_011_b_2
data/Avocado Ripening Dataset/T10_d10_011_a_2.jpg,T10_011,T10,10,2,a,2022-04-13 12:10:16,T10_d10_011_a_2
data/Avocado Ripening Dataset/T10_d10_011_b_2.jpg,T10_011,T10,10,2,b,2022-04-13 12:10:24,T10_d10_011_b_2
data/Avocado Ripening Dataset/T10_d11_011_a_2.jpg,T10_011,T10,11,2,a,2022-04-14 13:05:49,T10_d11_011_a_2
data/Avocado Ripening Dataset/T10_d11_011_b_2.jpg,T10_011,T10,11,2,b,2022-04-14 13:05:56,T10_d11_011_b_2
data/Avocado Ripening Dataset/T10_d12_011_a_3.jpg,T10_011,T10,12,3,a,2022-04-15 17:01:08,T10_d12_011_a_3
data/Avocado Ripening Dataset/T10_d12_011_b_3.jpg,T10_011,T10,12,3,b,2022-04-15 17:01:13,T10_d12_011_b_3
data/Avocado Ripening Dataset/T10_d13_011_a_3.jpg,T10_011,T10,13,3,a,2022-04-16 13:50:34,T10_d13_011_a_3
data/Avocado Ripening Dataset/T10_d13_011_b_3.jpg,T10_011,T10,13,3,b,2022-04-16 13:50:39,T10_d13_011_b_3
data/Avocado Ripening Dataset/T10_d14_011_a_3.jpg,T10_011,T10,14,3,a,2022-04-17 15:54:18,T10_d14_011_a_3
data/Avocado Ripening Dataset/T10_d14_011_b_3.jpg,T10_011,T10,14,3,b,2022-04-17 15:54:23,T10_d14_011_b_3
data/Avocado Ripening Dataset/T10_d15_011_a_3.jpg,T10_011,T10,15,3,a,2022-04-18 16:01:09,T10_d15_011_a_3
data/Avocado Ripening Dataset/T10_d15_011_b_3.jpg,T10_011,T10,15,3,b,2022-04-18 16:01:13,T10_d15_011_b_3
data/Avocado Ripening Dataset/T10_d16_011_a_3.jpg,T10_011,T10,16,3,a,2022-04-19 13:26:46,T10_d16_011_a_3
data/Avocado Ripening Dataset/T10_d16_011_b_3.jpg,T10_011,T10,16,3,b,2022-04-19 13:26:53,T10_d16_011_b_3
data/Avocado Ripening Dataset/T10_d17_011_a_4.jpg,T10_011,T10,17,4,a,2022-04-20 13:07:24,T10_d17_011_a_4
data/Avocado Ripening Dataset/T10_d17_011_b_4.jpg,T10_011,T10,17,4,b,2022-04-20 13:07:29,T10_d17_011_b_4
data/Avocado Ripening Dataset/T10_d18_011_a_4.jpg,T10_011,T10,18,4,a,2022-04-21 14:18:50,T10_d18_011_a_4
data/Avocado Ripening Dataset/T10_d18_011_b_4.jpg,T10_011,T10,18,4,b,2022-04-21 14:18:57,T10_d18_011_b_4
data/Avocado Ripening Dataset/T10_d19_011_a_4.jpg,T10_011,T10,19,4,a,2022-04-22 13:36:06,T10_d19_011_a_4
data/Avocado Ripening Dataset/T10_d19_011_b_4.jpg,T10_011,T10,19,4,b,2022-04-22 13:36:11,T10_d19_011_b_4
data/Avocado Ripening Dataset/T10_d20_011_a_4.jpg,T10_011,T10,20,4,a,2022-04-23 13:17:56,T10_d20_011_a_4
data/Avocado Ripening Dataset/T10_d20_011_b_4.jpg,T10_011,T10,20,4,b,2022-04-23 13:18:02,T10_d20_011_b_4
data/Avocado Ripening Dataset/T10_d21_011_a_5.jpg,T10_011,T10,21,5,a,2022-04-24 15:17:57,T10_d21_011_a_5
data/Avocado Ripening Dataset/T10_d21_011_b_5.jpg,T10_011,T10,21,5,b,2022-04-24 15:18:01,T10_d21_011_b_5
data/Avocado Ripening Dataset/T10_d22_011_a_5.jpg,T10_011,T10,22,5,a,2022-04-25 15:21:32,T10_d22_011_a_5
